config_id,delta_window,p_window,g_window,eps_g,tau_delta,tau_p,p_min,p_z_threshold,k_consec_alarm,warmup_bars,n_events,n_event_success,n_event_fail,event_success_rate,event_success_ids,event_fail_ids,median_lead_minutes,median_lead_bars,total_alarm_count_events,total_pre_collapse_alarm_count,n_controls,n_controls_with_alarm,n_controls_without_alarm,control_alarm_ids,control_silent_ids,control_window_fp_rate,control_row_fp_rate,control_window_fp_accepted,control_row_fp_accepted,total_control_alarm_rows,total_control_rows,provisional_score
cfg_001803,45,45,30,0.1,-0.05,0.0,0.05,1.0,5,0,5,1,4,0.2,['volmageddon_2018_xiv'],"['covid_mwcb_2020_03_09', 'covid_mwcb_2020_03_12', 'covid_mwcb_2020_03_16', 'covid_mwcb_2020_03_18']",98.0,98.0,4,2,20,1,19,['covid_noncollapse_2020_03_17'],"['volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_26', 'volmageddon_control_2018_01_29', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_02', 'volmageddon_control_2018_02_06', 'covid_noncollapse_2020_03_06', 'covid_noncollapse_2020_03_10', 'covid_noncollapse_2020_03_11', 'covid_noncollapse_2020_03_13', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_26', 'covid_noncollapse_2020_03_27']",0.05,5.692167577413479e-05,True,False,1,17568,1010048.0569216758
cfg_001815,45,45,30,0.15,-0.05,0.0,0.05,1.0,5,0,5,1,4,0.2,['volmageddon_2018_xiv'],"['covid_mwcb_2020_03_09', 'covid_mwcb_2020_03_12', 'covid_mwcb_2020_03_16', 'covid_mwcb_2020_03_18']",98.0,98.0,4,2,20,1,19,['covid_noncollapse_2020_03_17'],"['volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_26', 'volmageddon_control_2018_01_29', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_02', 'volmageddon_control_2018_02_06', 'covid_noncollapse_2020_03_06', 'covid_noncollapse_2020_03_10', 'covid_noncollapse_2020_03_11', 'covid_noncollapse_2020_03_13', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_26', 'covid_noncollapse_2020_03_27']",0.05,5.692167577413479e-05,True,False,1,17568,1010048.0569216758
cfg_001321,30,60,30,0.1,-0.05,0.0,0.02,1.0,5,0,5,1,4,0.2,['covid_mwcb_2020_03_18'],"['volmageddon_2018_xiv', 'covid_mwcb_2020_03_09', 'covid_mwcb_2020_03_12', 'covid_mwcb_2020_03_16']",51.28333333333333,51.0,6,1,20,1,19,['covid_noncollapse_2020_03_11'],"['volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_26', 'volmageddon_control_2018_01_29', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_02', 'volmageddon_control_2018_02_06', 'covid_noncollapse_2020_03_06', 'covid_noncollapse_2020_03_10', 'covid_noncollapse_2020_03_13', 'covid_noncollapse_2020_03_17', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_26', 'covid_noncollapse_2020_03_27']",0.05,0.00011384335154826958,True,False,2,17568,1010001.1138433516
cfg_001323,30,60,30,0.1,-0.05,0.0,0.05,1.0,5,0,5,1,4,0.2,['covid_mwcb_2020_03_18'],"['volmageddon_2018_xiv', 'covid_mwcb_2020_03_09', 'covid_mwcb_2020_03_12', 'covid_mwcb_2020_03_16']",51.28333333333333,51.0,6,1,20,1,19,['covid_noncollapse_2020_03_11'],"['volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_26', 'volmageddon_control_2018_01_29', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_02', 'volmageddon_control_2018_02_06', 'covid_noncollapse_2020_03_06', 'covid_noncollapse_2020_03_10', 'covid_noncollapse_2020_03_13', 'covid_noncollapse_2020_03_17', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_26', 'covid_noncollapse_2020_03_27']",0.05,0.00011384335154826958,True,False,2,17568,1010001.1138433516
cfg_001285,30,60,16,0.15,-0.05,0.0,0.02,1.0,5,0,5,1,4,0.2,['covid_mwcb_2020_03_18'],"['volmageddon_2018_xiv', 'covid_mwcb_2020_03_09', 'covid_mwcb_2020_03_12', 'covid_mwcb_2020_03_16']",51.28333333333333,51.0,5,1,20,1,19,['covid_noncollapse_2020_03_11'],"['volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_26', 'volmageddon_control_2018_01_29', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_02', 'volmageddon_control_2018_02_06', 'covid_noncollapse_2020_03_06', 'covid_noncollapse_2020_03_10', 'covid_noncollapse_2020_03_13', 'covid_noncollapse_2020_03_17', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_26', 'covid_noncollapse_2020_03_27']",0.05,5.692167577413479e-05,True,False,1,17568,1010001.0569216758
cfg_001287,30,60,16,0.15,-0.05,0.0,0.05,1.0,5,0,5,1,4,0.2,['covid_mwcb_2020_03_18'],"['volmageddon_2018_xiv', 'covid_mwcb_2020_03_09', 'covid_mwcb_2020_03_12', 'covid_mwcb_2020_03_16']",51.28333333333333,51.0,5,1,20,1,19,['covid_noncollapse_2020_03_11'],"['volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_26', 'volmageddon_control_2018_01_29', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_02', 'volmageddon_control_2018_02_06', 'covid_noncollapse_2020_03_06', 'covid_noncollapse_2020_03_10', 'covid_noncollapse_2020_03_13', 'covid_noncollapse_2020_03_17', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_26', 'covid_noncollapse_2020_03_27']",0.05,5.692167577413479e-05,True,False,1,17568,1010001.0569216758
cfg_001333,30,60,30,0.15,-0.05,0.0,0.02,1.0,5,0,5,1,4,0.2,['covid_mwcb_2020_03_18'],"['volmageddon_2018_xiv', 'covid_mwcb_2020_03_09', 'covid_mwcb_2020_03_12', 'covid_mwcb_2020_03_16']",51.28333333333333,51.0,6,1,20,1,19,['covid_noncollapse_2020_03_11'],"['volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_26', 'volmageddon_control_2018_01_29', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_02', 'volmageddon_control_2018_02_06', 'covid_noncollapse_2020_03_06', 'covid_noncollapse_2020_03_10', 'covid_noncollapse_2020_03_13', 'covid_noncollapse_2020_03_17', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_26', 'covid_noncollapse_2020_03_27']",0.05,5.692167577413479e-05,True,False,1,17568,1010001.0569216758
cfg_001335,30,60,30,0.15,-0.05,0.0,0.05,1.0,5,0,5,1,4,0.2,['covid_mwcb_2020_03_18'],"['volmageddon_2018_xiv', 'covid_mwcb_2020_03_09', 'covid_mwcb_2020_03_12', 'covid_mwcb_2020_03_16']",51.28333333333333,51.0,6,1,20,1,19,['covid_noncollapse_2020_03_11'],"['volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_26', 'volmageddon_control_2018_01_29', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_02', 'volmageddon_control_2018_02_06', 'covid_noncollapse_2020_03_06', 'covid_noncollapse_2020_03_10', 'covid_noncollapse_2020_03_13', 'covid_noncollapse_2020_03_17', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_26', 'covid_noncollapse_2020_03_27']",0.05,5.692167577413479e-05,True,False,1,17568,1010001.0569216758
cfg_000149,16,30,45,0.02,-0.05,0.0,0.1,1.0,5,0,5,1,4,0.2,['covid_mwcb_2020_03_18'],"['volmageddon_2018_xiv', 'covid_mwcb_2020_03_09', 'covid_mwcb_2020_03_12', 'covid_mwcb_2020_03_16']",5.283333333333333,5.0,5,3,20,1,19,['covid_noncollapse_2020_03_26'],"['volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_26', 'volmageddon_control_2018_01_29', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_02', 'volmageddon_control_2018_02_06', 'covid_noncollapse_2020_03_06', 'covid_noncollapse_2020_03_10', 'covid_noncollapse_2020_03_11', 'covid_noncollapse_2020_03_13', 'covid_noncollapse_2020_03_17', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_27']",0.05,0.00034153005464480874,True,False,6,17568,1009955.3415300547
cfg_000197,16,30,60,0.02,-0.05,0.0,0.1,1.0,5,0,5,1,4,0.2,['covid_mwcb_2020_03_18'],"['volmageddon_2018_xiv', 'covid_mwcb_2020_03_09', 'covid_mwcb_2020_03_12', 'covid_mwcb_2020_03_16']",5.283333333333333,5.0,5,3,20,1,19,['covid_noncollapse_2020_03_26'],"['volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_26', 'volmageddon_control_2018_01_29', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_02', 'volmageddon_control_2018_02_06', 'covid_noncollapse_2020_03_06', 'covid_noncollapse_2020_03_10', 'covid_noncollapse_2020_03_11', 'covid_noncollapse_2020_03_13', 'covid_noncollapse_2020_03_17', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_27']",0.05,0.00034153005464480874,True,False,6,17568,1009955.3415300547
