config_id,delta_window,p_window,g_window,eps_g,tau_delta,tau_p,p_min,p_z_threshold,k_consec_alarm,warmup_bars,n_events,n_event_success,n_event_fail,event_success_rate,event_success_ids,event_fail_ids,median_lead_minutes,median_lead_bars,total_alarm_count_events,total_pre_collapse_alarm_count,n_controls,n_controls_with_alarm,n_controls_without_alarm,control_alarm_ids,control_silent_ids,control_window_fp_rate,control_row_fp_rate,control_window_fp_accepted,control_row_fp_accepted,total_control_alarm_rows,total_control_rows,provisional_score
cfg_002047,45,60,30,0.1,-0.02,0.0,0.02,1.0,5,0,2,2,0,1.0,"['volmageddon_2018_xiv', 'covid_mwcb_2020_03_18']",[],74.64166666666667,74.5,3,3,16,1,15,['volmageddon_control_2018_01_29'],"['volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_26', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_02', 'volmageddon_control_2018_02_06', 'covid_noncollapse_2020_03_17', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_26', 'covid_noncollapse_2020_03_27']",0.0625,0.0002862458852154,True,False,4,13974,999899.7862458852
cfg_002049,45,60,30,0.1,-0.02,0.0,0.05,1.0,5,0,2,2,0,1.0,"['volmageddon_2018_xiv', 'covid_mwcb_2020_03_18']",[],74.64166666666667,74.5,3,3,16,1,15,['volmageddon_control_2018_01_29'],"['volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_26', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_02', 'volmageddon_control_2018_02_06', 'covid_noncollapse_2020_03_17', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_26', 'covid_noncollapse_2020_03_27']",0.0625,0.00021468441391155003,True,False,3,13974,999899.7146844139
cfg_002059,45,60,30,0.15,-0.02,0.0,0.02,1.0,5,0,2,2,0,1.0,"['volmageddon_2018_xiv', 'covid_mwcb_2020_03_18']",[],74.64166666666667,74.5,3,3,16,1,15,['volmageddon_control_2018_01_29'],"['volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_26', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_02', 'volmageddon_control_2018_02_06', 'covid_noncollapse_2020_03_17', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_26', 'covid_noncollapse_2020_03_27']",0.0625,0.0001431229426077,True,False,2,13974,999899.6431229427
cfg_002061,45,60,30,0.15,-0.02,0.0,0.05,1.0,5,0,2,2,0,1.0,"['volmageddon_2018_xiv', 'covid_mwcb_2020_03_18']",[],74.64166666666667,74.5,3,3,16,1,15,['volmageddon_control_2018_01_29'],"['volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_26', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_02', 'volmageddon_control_2018_02_06', 'covid_noncollapse_2020_03_17', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_26', 'covid_noncollapse_2020_03_27']",0.0625,0.0001431229426077,True,False,2,13974,999899.6431229427
cfg_001315,30,60,30,0.05,-0.02,0.0,0.02,1.0,5,0,2,2,0,1.0,"['volmageddon_2018_xiv', 'covid_mwcb_2020_03_18']",[],74.64166666666667,74.5,3,3,16,1,15,['covid_noncollapse_2020_03_20'],"['volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_26', 'volmageddon_control_2018_01_29', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_02', 'volmageddon_control_2018_02_06', 'covid_noncollapse_2020_03_17', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_26', 'covid_noncollapse_2020_03_27']",0.0625,7.156147130385e-05,True,False,1,13974,999899.5715614713
cfg_001317,30,60,30,0.05,-0.02,0.0,0.05,1.0,5,0,2,2,0,1.0,"['volmageddon_2018_xiv', 'covid_mwcb_2020_03_18']",[],74.64166666666667,74.5,3,3,16,1,15,['covid_noncollapse_2020_03_20'],"['volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_26', 'volmageddon_control_2018_01_29', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_02', 'volmageddon_control_2018_02_06', 'covid_noncollapse_2020_03_17', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_26', 'covid_noncollapse_2020_03_27']",0.0625,7.156147130385e-05,True,False,1,13974,999899.5715614713
cfg_002041,45,60,30,0.1,-0.05,0.0,0.02,1.0,5,0,2,2,0,1.0,"['volmageddon_2018_xiv', 'covid_mwcb_2020_03_18']",[],74.64166666666667,74.5,3,3,16,1,15,['volmageddon_control_2018_01_29'],"['volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_26', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_02', 'volmageddon_control_2018_02_06', 'covid_noncollapse_2020_03_17', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_26', 'covid_noncollapse_2020_03_27']",0.0625,7.156147130385e-05,True,False,1,13974,999899.5715614713
cfg_002043,45,60,30,0.1,-0.05,0.0,0.05,1.0,5,0,2,2,0,1.0,"['volmageddon_2018_xiv', 'covid_mwcb_2020_03_18']",[],74.64166666666667,74.5,3,3,16,1,15,['volmageddon_control_2018_01_29'],"['volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_26', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_02', 'volmageddon_control_2018_02_06', 'covid_noncollapse_2020_03_17', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_26', 'covid_noncollapse_2020_03_27']",0.0625,7.156147130385e-05,True,False,1,13974,999899.5715614713
cfg_002053,45,60,30,0.15,-0.05,0.0,0.02,1.0,5,0,2,2,0,1.0,"['volmageddon_2018_xiv', 'covid_mwcb_2020_03_18']",[],74.64166666666667,74.5,3,3,16,1,15,['volmageddon_control_2018_01_29'],"['volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_26', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_02', 'volmageddon_control_2018_02_06', 'covid_noncollapse_2020_03_17', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_26', 'covid_noncollapse_2020_03_27']",0.0625,7.156147130385e-05,True,False,1,13974,999899.5715614713
cfg_002055,45,60,30,0.15,-0.05,0.0,0.05,1.0,5,0,2,2,0,1.0,"['volmageddon_2018_xiv', 'covid_mwcb_2020_03_18']",[],74.64166666666667,74.5,3,3,16,1,15,['volmageddon_control_2018_01_29'],"['volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_26', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_02', 'volmageddon_control_2018_02_06', 'covid_noncollapse_2020_03_17', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_26', 'covid_noncollapse_2020_03_27']",0.0625,7.156147130385e-05,True,False,1,13974,999899.5715614713
